"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.vcm_round","player.individual_exchange","player.group_exchange","player.group_exchange_percent","player.total_op_individual_exchange","player.total_op_group_exchange","player.mpcr","player.round_points","player.player_role","player.player_role_list","player.paid_round","player.final_score","player.final_avg_ge","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"66",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,3,5,13,7,0.35,43,17,0.3,20.2,NA,NA,NA,NA,NA,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
"67",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,1,5,19,1,0.05,37,23,0.3,26.2,NA,NA,NA,NA,NA,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
"68",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,1,5,19,1,0.05,37,23,0.3,26.2,NA,NA,NA,NA,NA,0,2,5,"2huaehm1",NA,NA,NA,NA,NA,0
"69",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,3,5,16,4,0.2,40,20,0.3,23.2,NA,NA,NA,NA,NA,0,4,5,"2huaehm1",NA,NA,NA,NA,NA,0
"70",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,1,5,19,1,0.05,45.2,12.8,0.3,23.14,NA,NA,NA,NA,NA,0,4,5,"2huaehm1",NA,NA,NA,NA,NA,0
"71",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,4,5,8,12,0.6,48,12,0.3,15.2,NA,NA,NA,NA,NA,0,3,5,"2huaehm1",NA,NA,NA,NA,NA,0
"72",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,3,5,16,4,0.2,30,30,0.3,26.2,NA,NA,NA,NA,NA,0,2,5,"2huaehm1",NA,NA,NA,NA,NA,0
"73",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,2,5,8,12,0.6,48,12,0.3,15.2,NA,NA,NA,NA,NA,0,4,5,"2huaehm1",NA,NA,NA,NA,NA,0
"74",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,4,5,16.2,1.8,0.1,48,12,0.3,20.34,NA,NA,NA,NA,NA,0,2,5,"2huaehm1",NA,NA,NA,NA,NA,0
"75",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,2,5,19,1,0.05,45.2,12.8,0.3,23.14,NA,NA,NA,NA,NA,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
"76",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,5,19,1,0.05,37,23,0.3,26.2,NA,NA,NA,NA,NA,0,2,5,"2huaehm1",NA,NA,NA,NA,NA,0
"77",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,4,5,12,8,0.4,34,26,0.3,22.2,NA,NA,NA,NA,NA,0,4,5,"2huaehm1",NA,NA,NA,NA,NA,0
"78",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,4,5,1,19,0.95,45,15,0.3,11.2,NA,NA,NA,NA,NA,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
"79",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,3,5,10,10,0.5,54.2,3.8,0.3,14.14,NA,NA,NA,NA,NA,0,3,5,"2huaehm1",NA,NA,NA,NA,NA,0
"80",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,2,5,10,10,0.5,46,14,0.3,17.2,NA,NA,NA,NA,NA,0,3,5,"2huaehm1",NA,NA,NA,NA,NA,0
"81",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,2,6,17,3,0.15,54.8,5.2,0.3,19.46,NA,NA,NA,NA,NA,0,4,6,"2huaehm1",NA,NA,NA,NA,NA,0
"82",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,4,6,18,2,0.1,55.1,2.9,0.3,19.47,NA,NA,NA,NA,NA,0,1,6,"2huaehm1",NA,NA,NA,NA,NA,0
